model,coverage,accuracy,risk
latent_quantum_hybrid_temp_scaled,0.5737179487179487,0.9134078212290503,0.08659217877094971
latent_quantum_hybrid_temp_scaled,0.6217948717948718,0.9072164948453608,0.09278350515463918
latent_quantum_hybrid_temp_scaled,0.6682692307692307,0.9040767386091128,0.09592326139088725
latent_quantum_hybrid_temp_scaled,0.7163461538461539,0.901565995525727,0.09843400447427297
latent_quantum_hybrid_temp_scaled,0.7628205128205128,0.8991596638655462,0.10084033613445376
latent_quantum_hybrid_temp_scaled,0.8108974358974359,0.8972332015810277,0.1027667984189723
latent_quantum_hybrid_temp_scaled,0.8573717948717948,0.8859813084112149,0.11401869158878508
latent_quantum_hybrid_temp_scaled,0.905448717948718,0.8814159292035398,0.11858407079646016
latent_quantum_hybrid_temp_scaled,0.9519230769230769,0.8636363636363636,0.13636363636363635
latent_quantum_hybrid_temp_scaled,1.0,0.8541666666666666,0.14583333333333337
